"sp_files","n_used","eezs_used","eezs_sovereigns_used"
"Ardenna bulleri_New Zealand.tif",27,"New Zealand_Hawaii_NA_Norfolk Island_United States_Johnston Atoll_Mexico_Tonga_Islas San Félix and San Ambrosio_Niue_Cook Islands_Australia_Pitcairn_Matthew and Hunter Islands_French Polynesia_Chile_American Samoa_Fiji_Alaska_Palmyra Atoll_Line Group_Phoenix Group_Tuvalu_Jarvis Island_Tokelau_Howland and Baker islands_Antarctica","New Zealand_United States_NA_Australia_United States_United States_Mexico_Tonga_Chile_New Zealand_New Zealand_Australia_United Kingdom_France_France_Chile_United States_Fiji_United States_United States_Kiribati_Kiribati_Tuvalu_United States_New Zealand_United States_Antarctica"
"Ardenna carneipes_Australia.tif",27,"China_South Korea_Liancourt Rocks_Japan_North Korea_South Korea_Kuril Islands_Australia_Senkaku Islands_Northern Mariana Islands_New Caledonia_Norfolk Island_Taiwan_NA_Russia_Guam_Philippines_Micronesia_Papua New Guinea_Papua New Guinea_Solomon Islands_Indonesia_Cocos Islands_Vanuatu_Palau_Marshall Islands_Nauru","China_South Korea_Japan_Japan_North Korea_South Korea_Japan_Australia_Taiwan_United States_France_Australia_Taiwan_NA_Russia_United States_Philippines_Micronesia_Papua New Guinea_Papua New Guinea_Solomon Islands_Indonesia_Australia_Vanuatu_Palau_Marshall Islands_Nauru"
"Ardenna carneipes_New Zealand.tif",41,"Japan_Kuril Islands_New Zealand_Norfolk Island_Matthew and Hunter Islands_NA_Hawaii_Wake Island_Northern Mariana Islands_Russia_Fiji_New Caledonia_French Polynesia_Tonga_Marshall Islands_Guam_Vanuatu_East Timor_Australia_Gilbert Islands_Tuvalu_Niue_Micronesia_Pitcairn_Johnston Atoll_Solomon Islands_Wallis and Futuna_Cook Islands_American Samoa_Easter Island_Papua New Guinea_Indonesia_Howland and Baker islands_Nauru_United States_Tokelau_Phoenix Group_Alaska_Jarvis Island_Antarctica_Line Group","Japan_Japan_New Zealand_Australia_France_NA_United States_United States_United States_Russia_Fiji_France_France_Tonga_Marshall Islands_United States_Vanuatu_East Timor_Australia_Kiribati_Tuvalu_New Zealand_Micronesia_United Kingdom_United States_Solomon Islands_France_New Zealand_United States_Chile_Papua New Guinea_Indonesia_United States_Nauru_United States_New Zealand_Kiribati_United States_United States_Antarctica_Kiribati"
"Ardenna creatopus_Chile.tif",17,"United States_Mexico_Costa Rica_Chile_Costa Rica_Peru_Panama_Peru_Colombia_Ecuador_Ecuador_Galapagos_Clipperton Island_Islas San Félix and San Ambrosio_Canada_Guatemala_NA","United States_Mexico_Costa Rica_Chile_Costa Rica_Peru_Panama_Peru_Colombia_Ecuador_Ecuador_Ecuador_France_Chile_Canada_Guatemala_NA"
"Ardenna gravis_UK.tif",63,"Uruguay_Uruguay_Tristan da Cunha_Argentina_Brazil_South Africa_Anguilla_Madeira_Bermuda_British Virgin Islands_Azores_Canary Islands_Antigua and Barbuda_NA_Collectivity of Saint Martin_Saba_Sint-Maarten_Saint-Barthélemy_Trindade_Guyana_Barbados_Guadeloupe_Sint-Eustatius_Namibia_Puerto Rico_United States Virgin Islands_Saint Kitts and Nevis_Trinidad and Tobago_Dominica_Martinique_Barbados_Suriname_French Guiana_Guyana_Western Sahara_United States_Montserrat_Canada_Saint Lucia_Saint Vincent and the Grenadines_Guinea-Bissau_Greenland_Grenada_Saint-Pierre and Miquelon_Senegal_Cape Verde_Venezuela_Ireland_Falkland / Malvinas Islands_Senegal_Guinea_Mauritania_Portugal_Gambia_Sierra Leone_Iceland_Morocco_Ascension_Spain_Chile_Bouvet_South Georgia and the South Sandwich Islands_Antarctica","Uruguay_Uruguay_United Kingdom_Argentina_Brazil_South Africa_United Kingdom_Portugal_United Kingdom_United Kingdom_Portugal_Spain_Antigua and Barbuda_NA_France_Netherlands_Netherlands_France_Brazil_Guyana_Barbados_France_Netherlands_Namibia_United States_United States_Saint Kitts and Nevis_Trinidad and Tobago_Dominica_France_Barbados_Suriname_France_Guyana_Western Sahara_United States_United Kingdom_Canada_Saint Lucia_Saint Vincent and the Grenadines_Guinea-Bissau_Denmark_Grenada_France_Senegal_Cape Verde_Venezuela_Ireland_United Kingdom_Senegal_Guinea_Mauritania_Portugal_Gambia_Sierra Leone_Iceland_Morocco_United Kingdom_Spain_Chile_Norway_United Kingdom_Antarctica"
"Ardenna grisea_New Zealand.tif",58,"Kuril Islands_Japan_Uruguay_United States_Uruguay_Hawaii_New Zealand_NA_Mexico_Argentina_Johnston Atoll_Alaska_Brazil_Russia_Easter Island_Norfolk Island_Tonga_Australia_Pitcairn_Niue_United States_French Polynesia_Fiji_Islas San Félix and San Ambrosio_Macquarie Island_Canada_Samoa_Wake Island_Chile_Matthew and Hunter Islands_Cook Islands_Peru_Northern Mariana Islands_American Samoa_Liancourt Rocks_Wallis and Futuna_Palmyra Atoll_Tokelau_Falkland / Malvinas Islands_South Korea_Line Group_Phoenix Group_New Caledonia_Howland and Baker islands_Jarvis Island_Marshall Islands_Palau_Guam_Micronesia_Vanuatu_Galapagos_Nauru_Solomon Islands_Clipperton Island_Antarctica_Tuvalu_Gilbert Islands_Papua New Guinea","Japan_Japan_Uruguay_United States_Uruguay_United States_New Zealand_NA_Mexico_Argentina_United States_United States_Brazil_Russia_Chile_Australia_Tonga_Australia_United Kingdom_New Zealand_United States_France_Fiji_Chile_Australia_Canada_Samoa_United States_Chile_France_New Zealand_Peru_United States_United States_Japan_France_United States_New Zealand_United Kingdom_South Korea_Kiribati_Kiribati_France_United States_United States_Marshall Islands_Palau_United States_Micronesia_Vanuatu_Ecuador_Nauru_Solomon Islands_France_Antarctica_Tuvalu_Kiribati_Papua New Guinea"
"Ardenna grisea_UK.tif",28,"Uruguay_Uruguay_Argentina_Trindade_Tristan da Cunha_Falkland / Malvinas Islands_Azores_Namibia_Brazil_Bermuda_South Africa_NA_Canada_Saint-Pierre and Miquelon_United States_Ireland_Madeira_Chile_Greenland_Cape Verde_United Kingdom_Iceland_Western Sahara_South Georgia and the South Sandwich Islands_French Guiana_Bouvet_Antarctica_Mauritania","Uruguay_Uruguay_Argentina_Brazil_United Kingdom_United Kingdom_Portugal_Namibia_Brazil_United Kingdom_South Africa_NA_Canada_France_United States_Ireland_Portugal_Chile_Denmark_Cape Verde_United Kingdom_Iceland_Western Sahara_United Kingdom_France_Norway_Antarctica_Mauritania"
"Ardenna pacifica_Australia.tif",11,"Singapore_Australia_Indonesia_Christmas Island_Cocos Islands_NA_Oecusse_Malaysia_Sri Lanka_Andaman and Nicobar_East Timor","Singapore_Australia_Indonesia_Australia_Australia_NA_East Timor_Malaysia_Sri Lanka_India_East Timor"
"Ardenna pacifica_France.tif",27,"Réunion_New Caledonia_Ile Tromelin_Republic of Mauritius_Madagascar_Vanuatu_Matthew and Hunter Islands_Norfolk Island_Glorioso Islands_Seychelles_Maldives_Sri Lanka_Mayotte_Chagos Archipelago_NA_Andaman and Nicobar_Australia_Comores_Bangladesh_India_Yemen_Solomon Islands_Amsterdam and Saint Paul Islands_Myanmar_Federal Republic of Somalia_Tanzania_Oman","France_France_France_Republic of Mauritius_Madagascar_Vanuatu_France_Australia_Madagascar_Seychelles_Maldives_Sri Lanka_France_Mauritius_NA_India_Australia_Comores_Bangladesh_India_Yemen_Solomon Islands_France_Myanmar_Federal Republic of Somalia_Tanzania_Oman"
"Ardenna pacifica_Mauritius.tif",16,"Réunion_Republic of Mauritius_Ile Tromelin_Madagascar_Seychelles_Sri Lanka_Glorioso Islands_Chagos Archipelago_Maldives_NA_Yemen_Federal Republic of Somalia_India_Andaman and Nicobar_Oman_Indonesia","France_Republic of Mauritius_France_Madagascar_Seychelles_Sri Lanka_Madagascar_Mauritius_Maldives_NA_Yemen_Federal Republic of Somalia_India_India_Oman_Indonesia"
