"UNION","MRGID_EEZ","TERRITORY1","MRGID_TER1","ISO_TER1","UN_TER1","SOVEREIGN1","MRGID_SOV1","ISO_SOV1","UN_SOV1","TERRITORY2","MRGID_TER2","ISO_TER2","UN_TER2","SOVEREIGN2","MRGID_SOV2","ISO_SOV2","UN_SOV2","TERRITORY3","MRGID_TER3","ISO_TER3","UN_TER3","SOVEREIGN3","MRGID_SOV3","ISO_SOV3","UN_SOV3","POL_TYPE","Y_1","x_1","AREA_KM2","id","over","prop","sp_country","species","breeding_country"
"Ceuta","49002","Ceuta","14864",NA,NA,"Spain","2185","ESP","724","Ceuta","14864",NA,NA,"Morocco","2221","MAR","504",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",35.87852,-5.31943,"53","282",7.99645476945443e-07,0.307823278545973,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Perejil Island","48998","Perejil Island","48994",NA,NA,"Spain","2185","ESP","724","Perejil Island","48994",NA,NA,"Morocco","2221","MAR","504",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",35.91444,-5.41983,"1","292",7.99645476945443e-07,0.307823278545973,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Gibraltar","8365","Gibraltar","3344","GIB","292","United Kingdom","2208","GIB","826","Spain","2185","ESP","724","Spain","2185","ESP","724",NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",36.08911,-5.22177,"395","299",7.99645476945443e-07,0.307823278545973,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Melilla","49000","Melilla","36288",NA,NA,"Spain","2185","ESP","724","Melilla","36288",NA,NA,"Morocco","2221","MAR","504",NA,"0",NA,NA,NA,"0",NA,NA,"Overlapping claim",35.30805,-2.92826,"41","286",1.16138309635971e-07,0.0447074063039703,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Morocco","8367","Morocco","2221","MAR","504","Morocco","2221","MAR","504",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",32.24737,-7.75325,"686692","161",2.05984717952114e-08,0.0079293753342537,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Spain","5693","Spain","2185","ESP","724","Spain","2185","ESP","724",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",41.09913,-3.84711,"1060248","279",1.61770422703029e-08,0.00622734740880824,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"South Africa","8396","South Africa","2176","ZAF","710","South Africa","2176","ZAF","710",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",-31.16021,24.77862,"2292218","85",1.44137361450399e-08,0.00554856326232366,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Portugal","5688","Portugal","2243","PRT","620","Portugal","2243","PRT","620",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",38.62323,-10.26364,"404204","51",1.40875394300158e-08,0.00542299393796107,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Madeira","8363","Madeira","4956",NA,NA,"Portugal","2243","PRT","620",NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"Union EEZ and country",33.17225,-16.81115,"453616","166",6.67095100406568e-09,0.00256798052173707,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
"Joint regime area Spain / France","48966","France","17","FRA","250","France","17","FRA","250","Spain","2185","ESP","724","Spain","2185","ESP","724",NA,"0",NA,NA,NA,"0",NA,NA,"Joint regime (EEZ)",45.25417,-5.33333,"2859","305",2.82358428305152e-09,0.00108693789475295,"Calonectris borealis_Portugal","Calonectris borealis","Portugal"
